Tiempo (ms);Ángulo 1
37396;74,1310729980469
37429;72,8038635253906
37462;71,8792037963867
37496;71,3723297119141
37529;71,2912292480469
37562;71,6374893188477
37596;72,4073181152344
37629;73,5922012329102
37662;75,1767196655273
37695;77,135856628418
37729;79,4361419677734
37762;82,0359802246094
37796;84,8813781738281
37829;87,9041900634766
37862;91,0275955200195
37895;94,171630859375
37929;97,256462097168
37962;100,211265563965
37995;102,981048583984
38029;105,520439147949
38062;107,786651611328
38095;109,74250793457
38129;111,361763000488
38162;112,63005065918
38195;113,540580749512
38229;114,088760375977
38262;114,271263122559
38295;114,086669921875
38329;113,536682128906
38362;112,627746582031
38395;111,370170593262
38429;109,776962280273
38462;107,865440368652
38495;105,66015625
38529;103,195022583008
38562;100,511810302734
38595;97,6578903198242
38628;94,6865844726563
38662;91,6577987670898
38695;88,6387710571289
38729;85,701042175293
38762;82,9129257202148
38795;80,3358688354492
38828;78,0244064331055
38862;76,0233840942383
38895;74,3671646118164
38928;73,0837707519531
38962;72,1970977783203
38995;71,7231292724609
39028;71,6683578491211
39062;72,03564453125
39095;72,8253402709961
39128;74,027702331543
39162;75,6204376220703
39195;77,5742111206055
39228;79,8544082641602
39262;82,4193496704102
39295;85,2191848754883
39328;88,1926498413086
39362;91,2653198242188
39395;94,3543090820313
39428;97,3779220581055
39462;100,267715454102
39495;102,973587036133
39528;105,454544067383
39562;107,66870880127
39595;109,576164245605
39628;111,148506164551
39662;112,372489929199
39695;113,242172241211
39728;113,75114440918
39762;113,895797729492
39795;113,680488586426
39828;113,114936828613
39861;112,20866394043
39895;110,967956542969
39928;109,398071289063
39962;107,51016998291
39995;105,328338623047
40028;102,889999389648
40061;100,240180969238
40095;97,4272766113281
40128;94,5035247802734
40161;91,5271453857422
40195;88,5631256103516
40228;85,6810073852539
40261;82,9494476318359
40295;80,4299392700195
40328;78,1748428344727
40361;76,2288284301758
40395;74,6297454833984
40428;73,405387878418
40461;72,5702133178711
40495;72,1308135986328
40528;72,0956573486328
40561;72,475341796875
40595;73,2734375
40628;74,4795532226563
40661;76,0702209472656
40694;78,013053894043
40728;80,2700576782227
40761;82,8005218505859
40794;85,5594635009766
40828;88,489387512207
40861;91,5157241821289
40894;94,5538787841797
40928;97,5227584838867
40961;100,35506439209
40994;102,99781036377
41028;105,406356811523
41061;107,542419433594
41094;109,376022338867
41128;110,886268615723
41161;112,060356140137
41194;112,890678405762
41228;113,37336730957
41261;113,507537841797
41294;113,292457580566
41328;112,726600646973
41361;111,812744140625
41394;110,561088562012
41428;108,985557556152
41461;107,102638244629
41494;104,936912536621
41527;102,524116516113
41561;99,9083480834961
41594;97,1393203735352
41627;94,2707290649414
41661;91,3578720092773
41694;88,4588851928711
41727;85,6400909423828
41761;82,9722366333008
41794;80,5175399780273
41828;78,3256759643555
41861;76,4375915527344
41894;74,8860473632813
41927;73,6963272094727
41961;72,8889846801758
41994;72,4802703857422
42028;72,4801940917969
42061;72,890983581543
42094;73,7068252563477
42127;74,9155807495117
42161;76,5005264282227
42194;78,4371719360352
42227;80,6901092529297
42261;83,2148590087891
42294;85,9570846557617
42327;88,8489151000977
42361;91,8130950927734
42394;94,772102355957
42427;97,6557159423828
42460;100,405967712402
42494;102,973983764648
42527;105,315132141113
42560;107,392112731934
42594;109,177520751953
42627;110,650260925293
42661;111,793518066406
42694;112,595291137695
42728;113,048011779785
42760;113,148513793945
42794;112,898887634277
42827;112,305603027344
42860;111,37686920166
42894;110,12247467041
42927;108,555145263672
42960;106,691291809082
42994;104,555816650391
43027;102,185035705566
43060;99,6211471557617
43094;96,9076766967773
43127;94,0917816162109
43160;91,2280654907227
43194;88,3790435791016
43227;85,6121520996094
43260;82,9964370727539
43294;80,5970458984375
43327;78,4675827026367
43360;76,6466369628906
43393;75,1598739624023
43427;74,0268478393555
43460;73,2686309814453
43494;72,9057388305664
43527;72,948127746582
43560;73,3910903930664
43594;74,2223892211914
43627;75,4314346313477
43660;77,0080032348633
43693;78,9325485229492
43727;81,1698532104492
43760;83,6690902709961
43793;86,3678359985352
43827;89,1987686157227
43860;92,0947265625
43893;94,989372253418
43927;97,8166656494141
43960;100,513168334961
43993;103,02278137207
44027;105,300354003906
44060;107,310546875
44093;109,02660369873
44127;110,431869506836
44160;111,516448974609
44193;112,271484375
44227;112,689430236816
44260;112,765808105469
44293;112,498756408691
44327;111,890609741211
44360;110,949081420898
44393;109,685195922852
44426;108,112976074219
